sitemapsCheckedAtUtc,oldUrl,oldPath,sourceSet,targetCandidate,targetOnNamedProduction,action,needsRedirectConfiguration,mappingEvidence,contentSourceRecord,contentSourceSeedState,contentReviewStatus,categoryTargetResultCount,categoryTargetCheckedAtUtc,candidateInNewSitemap,validationStatus,reviewNote
2026-09-15T18:48:25Z,https://rockbusters.net/,/,old-sitemap,/,https://rb-github.vercel.app/,retain-same-path,no,same-listed-path,,,,,,true,path-listed-target-needs-content-check,
2026-09-15T18:48:25Z,https://rockbusters.net/event-date/,/event-date,old-sitemap,/trips,https://rb-github.vercel.app/trips,approved-browse-index-redirect,yes,user-approved-browse-index,,,,,,true,browse-index-production-pending,Trip catalogue is the approved browse successor; verify legacy-host redirect
2026-09-15T18:48:25Z,https://rockbusters.net/private-guiding,/private-guiding,old-sitemap,/trips,https://rb-github.vercel.app/trips,approved-trips-fallback-redirect,yes,user-approved-trips-fallback,,,,,,true,trips-fallback-production-pending,Broad trip-catalogue fallback; verify migrated legacy-host route
2026-09-15T18:48:25Z,https://rockbusters.net/location/,/location,old-sitemap,/destinations,https://rb-github.vercel.app/destinations,redirect-candidate-needs-validation,yes,browse-index-successor,,,,,,true,path-listed-target-needs-content-check,
2026-09-15T18:48:25Z,https://rockbusters.net/team-member/,/team-member,old-sitemap,/team,https://rb-github.vercel.app/team,redirect-candidate-needs-validation,yes,browse-index-successor,,,,,,true,path-listed-target-needs-content-check,
2026-09-15T18:48:25Z,https://rockbusters.net/blog/,/blog,old-sitemap,/blog,https://rb-github.vercel.app/blog,retain-same-path,no,same-listed-path,,,,,,true,path-listed-target-needs-content-check,
2026-09-15T18:48:25Z,https://rockbusters.net/contact,/contact,old-sitemap,/contact,https://rb-github.vercel.app/contact,retain-same-path,no,same-listed-path,,,,,,true,path-listed-target-needs-content-check,
2026-09-15T18:48:25Z,https://rockbusters.net/event-date/sport-climbing--2018-07-07-190,/event-date/sport-climbing--2018-07-07-190,old-sitemap,/trips?category=sport-climbing-holidays,https://rb-github.vercel.app/trips?category=sport-climbing-holidays,temporary-date-category-redirect,yes,legacy-date-category-audit,,,,,,false,date-category-production-pending,temporary category fallback for historical Date; not an equivalent occurrence
2026-09-15T18:48:25Z,https://rockbusters.net/event-date/sport-climbing--2018-07-07-189,/event-date/sport-climbing--2018-07-07-189,old-sitemap,/trips?category=sport-climbing-holidays,https://rb-github.vercel.app/trips?category=sport-climbing-holidays,temporary-date-category-redirect,yes,legacy-date-category-audit,,,,,,false,date-category-production-pending,temporary category fallback for historical Date; not an equivalent occurrence
2026-09-15T18:48:25Z,https://rockbusters.net/event-date/sport-climbing--2018-07-14-191,/event-date/sport-climbing--2018-07-14-191,old-sitemap,/trips?category=sport-climbing-holidays,https://rb-github.vercel.app/trips?category=sport-climbing-holidays,temporary-date-category-redirect,yes,legacy-date-category-audit,,,,,,false,date-category-production-pending,temporary category fallback for historical Date; not an equivalent occurrence
